question_id,vehicle,car,answerability,difficulty,question_type,question,reference_answer,variant,variant_label,answer,bertscore_precision,bertscore_recall,bertscore_f1,faithfulness,answer_relevancy,context_precision,context_recall,generation_time_seconds
82,투싼,tucson,문서 내 답변,쉬움,구동,투싼 HTRAC는 평소 도로와 미끄럽거나 험한 길에서 바퀴에 힘을 어떻게 나눠?,"일반 도로에서는 전륜과 후륜의 구동력을 적절히 배분하고, 급경사·모랫길·진흙길 같은 험로에서는 구동력을 극대화해 주행성을 높입니다.",basic,CONTEXT + QUESTION,"투싼 HTRAC는 일반적인 도로 주행 시에는 전·후륜을 균등하게 구동력을 배분합니다. 하지만 미끄러운 또는 험한 길에서 주행할 때는 비포장 상태의 험한 길을 탈출하거나 급경사로, 모랫길, 진흙길 등을 주행할 때 차량의 구동력을 극대화하여 주행성을 향상시키기 위해 전·후륜 구동력을 다르게 나눕니다.",0.7696816325187683,0.8467587232589722,0.8063825964927673,0.125,0.9523211067207481,0.9999999999666667,1.0,5.598269199996139
82,투싼,tucson,문서 내 답변,쉬움,구동,투싼 HTRAC는 평소 도로와 미끄럽거나 험한 길에서 바퀴에 힘을 어떻게 나눠?,"일반 도로에서는 전륜과 후륜의 구동력을 적절히 배분하고, 급경사·모랫길·진흙길 같은 험로에서는 구동력을 극대화해 주행성을 높입니다.",role,ROLE,"투싼 HTRAC는 평소 도로에서는 전·후륜이 모두 구동되어, 전·후륜 구동력을 적절하게 배분합니다. 반면, 미끄럽거나 험한 길에서는 비포장 상태의 길을 탈출하거나 급경사로, 모랫길, 진흙길 등을 주행할 때 차량의 구동력을 극대화하여 주행성을 향상시키는데 사용됩니다.",0.7868922352790833,0.8681368231773376,0.825520396232605,0.875,0.7996558776977467,0.9999999999666667,1.0,4.152513299995917
82,투싼,tucson,문서 내 답변,쉬움,구동,투싼 HTRAC는 평소 도로와 미끄럽거나 험한 길에서 바퀴에 힘을 어떻게 나눠?,"일반 도로에서는 전륜과 후륜의 구동력을 적절히 배분하고, 급경사·모랫길·진흙길 같은 험로에서는 구동력을 극대화해 주행성을 높입니다.",constraint,INSTRUCTION / CONSTRAINT,"[출처: tucson p.294]
HTRAC (4륜구동) 차량의 운전 요령에서 설명되어 있습니다. 투싼의 HTRAC는 전·후륜이 모두 구동되어 일반 도로에서는 적절하게 전륜 및 후륜 구동력을 배분합니다. 비포장 상태의 험한 길을 탈출하거나 급경사로, 모랫길, 진흙길 등을 주행할 때는 차량의 구동력을 극대화하여 주행성을 향상시키는데 사용됩니다.",0.7189520597457886,0.8266726732254028,0.7690585851669312,0.8,0.8212248238923215,0.9999999999666667,1.0,5.138630100002047
82,투싼,tucson,문서 내 답변,쉬움,구동,투싼 HTRAC는 평소 도로와 미끄럽거나 험한 길에서 바퀴에 힘을 어떻게 나눠?,"일반 도로에서는 전륜과 후륜의 구동력을 적절히 배분하고, 급경사·모랫길·진흙길 같은 험로에서는 구동력을 극대화해 주행성을 높입니다.",few_shot,FEW-SHOT,"[출처: tucson 취급설명서 p.294]  
투싼의 HTRAC (4WD)는 전·후륜이 모두 구동되어 일반 도로에서 적절하게 전륜 및 후륜 구동력을 배분합니다. 비포장 상태의 험한 길을 탈출하거나 급경사로, 모랫길, 진흙길 등을 주행할 때는 차량의 구동력을 극대화하여 주행성을 향상시키는데 사용됩니다.",0.744940996170044,0.8579737544059753,0.7974720001220703,1.0,0.817840707906615,0.9999999999666667,1.0,4.578362600004766
82,투싼,tucson,문서 내 답변,쉬움,구동,투싼 HTRAC는 평소 도로와 미끄럽거나 험한 길에서 바퀴에 힘을 어떻게 나눠?,"일반 도로에서는 전륜과 후륜의 구동력을 적절히 배분하고, 급경사·모랫길·진흙길 같은 험로에서는 구동력을 극대화해 주행성을 높입니다.",verification,CHAIN-OF-VERIFICATION,"[출처: (실제 차종) tucson p.294] HTRAC (4륜구동) 차량의 운전 요령에 따르면, 전·후륜이 모두 구동되어 일반 도로에서 적절하게 전륜 및 후륜 구동력을 배분합니다. 비포장 상태의 험한 길을 탈출하거나 급경사로, 모랫길, 진흙길 등을 주행할 때는 차량의 구동력을 극대화하여 주행성을 향상시키는데 사용됩니다.",0.7214094996452332,0.8270189762115479,0.7706127166748047,1.0,0.831366428165334,0.9999999999666667,1.0,4.751703600006294
15,아이오닉 6,ioniq6,문서 내 답변,어려움,작동 조건,"아이오닉 6에서 스마트 회생제동은 언제 켤 수 있고, 켜졌는지는 어디서 확인해?",주행 중 변속 위치가 D인 상태에서 회생 제동 감소 레버를 1초 이상 당기면 켜집니다. 클러스터의 회생 제동 단계 표시가 'AUTO'로 바뀌면 작동 상태를 확인할 수 있습니다.,basic,CONTEXT + QUESTION,"아이오닉 6의 스마트 회생 제동은 다음과 같은 조건에서 작동할 수 있습니다:

1. **스마트 회생 시스템 기능이 비활성화 상태가 아닌 경우**:
   - 클러스터에 'AUTO' 표시등이 켜집니다.
   - 'AUTO' 표시등의 색상은 조건에 따라 다음과 같이 변합니다:
     - 초록색: 전방 레이더 인식이 가능하며 스마트 회생 시스템 기능이 작동 가능한 상태입니다.
     - 흰색: 전방 레이더 인식이 불가능하지만 스마트 회생 시스템 기능이 작동 가능한 상태입니다.
     - 회색: 스마트 회생 시스템 기능이 비활성화 상태입니다.

2. **스마트 회생 시스템 기능이 작동 가능한 상태에서 재시동 시**:
   - 회생 제동 단계가 유지되며, 회생 제동량이 0 단계일 경우에는 1단계로 켜집니다.

따라서 스마트 회생 제동이 작동 가능한 상태인지 확인하려면, 아이오닉 6의 클러스터를 확인하면 됩니다. 'AUTO' 표시등의 색상과 상태를 통해 스마트 회생 시스템이 작동 가능한지 여부를 판단할 수 있습니다.",0.6569387912750244,0.7520222067832947,0.7012721300125122,1.0,0.9567282437762552,0.8333333332916666,0.5,14.446185900000273
15,아이오닉 6,ioniq6,문서 내 답변,어려움,작동 조건,"아이오닉 6에서 스마트 회생제동은 언제 켤 수 있고, 켜졌는지는 어디서 확인해?",주행 중 변속 위치가 D인 상태에서 회생 제동 감소 레버를 1초 이상 당기면 켜집니다. 클러스터의 회생 제동 단계 표시가 'AUTO'로 바뀌면 작동 상태를 확인할 수 있습니다.,role,ROLE,"아이오닉 6에서 스마트 회생 제동은 다음과 같은 조건에서 작동할 수 있습니다:

- 클러스터의 'AUTO' 표시등이 초록색 또는 흰색으로 켜진 경우
- 스마트 회생 시스템 기능이 작동 가능한 상태이면서 전방 레이더 인식이 가능하다면

클러스터의 'AUTO' 표시등이 초록색으로 켜진 경우, 스마트 회생 시스템이 정상적으로 작동하고 있으며, 전방 레이더 인식도 가능합니다. 흰색으로 켜진 경우, 스마트 회생 시스템 기능이 작동 가능한 상태지만 전방 레이더 인식이 불가능합니다.

스마트 회생 제동이 작동 가능한 상태에서 스마트 회생 제동 기능을 재시동하려면, 회생 제동 감소 레버를 1초 이상 당겨야 합니다.",0.6811771392822266,0.7674134969711304,0.7217284440994263,0.8,0.9405559566705889,0.8333333332916666,0.5,9.189870600006543
15,아이오닉 6,ioniq6,문서 내 답변,어려움,작동 조건,"아이오닉 6에서 스마트 회생제동은 언제 켤 수 있고, 켜졌는지는 어디서 확인해?",주행 중 변속 위치가 D인 상태에서 회생 제동 감소 레버를 1초 이상 당기면 켜집니다. 클러스터의 회생 제동 단계 표시가 'AUTO'로 바뀌면 작동 상태를 확인할 수 있습니다.,constraint,INSTRUCTION / CONSTRAINT,"아이오닉 6에서 스마트 회생 제동은 다음과 같은 조건에서 켜질 수 있습니다:

- 클러스터의 'AUTO' 표시등이 초록색으로 켜진 경우
- 클러스터의 'AUTO' 표시등이 흰색으로 켜진 경우
- 스마트 회생 시스템 기능이 비활성화 상태가 아닌 경우

스마트 회생 제동이 켜졌는지를 확인하는 방법은 다음과 같습니다:

- 클러스터의 'AUTO' 표시등이 켜져 있는지 확인합니다. 
  - 초록색: 스마트 회생 제동이 활성화되어 있습니다.
  - 흰색: 스마트 회생 제동이 활성화되어 있지 않습니다.
  - 회색: 스마 Smart Regeneration Brake System이 비활성화 상태입니다.

[출처: ioniq6 p.329]",0.656295657157898,0.711376428604126,0.6827269196510315,0.8571428571428571,0.9757944581094316,0.8333333332916666,0.5,8.228741999992053
15,아이오닉 6,ioniq6,문서 내 답변,어려움,작동 조건,"아이오닉 6에서 스마트 회생제동은 언제 켤 수 있고, 켜졌는지는 어디서 확인해?",주행 중 변속 위치가 D인 상태에서 회생 제동 감소 레버를 1초 이상 당기면 켜집니다. 클러스터의 회생 제동 단계 표시가 'AUTO'로 바뀌면 작동 상태를 확인할 수 있습니다.,few_shot,FEW-SHOT,"[출처: ioniq6 취급설명서 p.329] 아이오닉 6에서 스마트 회생 제동은 회생 안정성 컨트롤(RSC) 또는 ABS가 작동하는 경우 스마트 회생 제동량 설정하기를 통해 켤 수 있습니다. 스마트 회생 시스템이 켜지면 클러스터에 'AUTO' 표시등이 켜집니다. 또한, 스마트 회생 시스템 기능이 작동 가능한 상태에서 재시동 시 회생 제동량 단계가 유지되며, 회생 제동량이 0 단계일 경우에는 1단계로 켜집니다.",0.7248119711875916,0.7792750597000122,0.751057505607605,1.0,0.8501160745318145,0.8333333332916666,0.5,6.1653063999983715
15,아이오닉 6,ioniq6,문서 내 답변,어려움,작동 조건,"아이오닉 6에서 스마트 회생제동은 언제 켤 수 있고, 켜졌는지는 어디서 확인해?",주행 중 변속 위치가 D인 상태에서 회생 제동 감소 레버를 1초 이상 당기면 켜집니다. 클러스터의 회생 제동 단계 표시가 'AUTO'로 바뀌면 작동 상태를 확인할 수 있습니다.,verification,CHAIN-OF-VERIFICATION,"[출처: ioniq6 p.329] 스마트 회생 제동량이 클러스터의 'AUTO' 표시등에 의해 조절되며, 'AUTO' 표시등이 'AUTO'로 켜진 경우 스마트 회생 시스템이 작동 가능합니다. 'AUTO' 표시등이 회색으로 켜진 경우 스마트 회생 시스템 기능이 비활성화 상태입니다. 'AUTO' 표시등이 초록색으로 켜진 경우 스마트 회생 시스템 기능이 작동 가능한 상태이며, 전방 레이더 인식이 되어 있습니다. 'AUTO' 표시등이 흰색으로 켜진 경우 스마트 회생 시스템 기능이 작동 가능한 상태지만 전방 레이더 인식이 되지 않습니다. 따라서 스마트 회생 제동은 클러스터의 'AUTO' 표시등이 'AUTO'로 켜진 상태에서 작동 가능합니다.",0.6699362993240356,0.7163140177726746,0.6923494338989258,0.6666666666666666,0.9009736910082569,0.8333333332916666,0.5,8.8845500999887
